items,hour,rain,event,kitchen_load,prep_time
fried rice,21,0,1,11,33.4
"veg biryani, paneer butter masala",5,0,0,11,28.2
"paneer butter masala, fried rice, naan",18,1,0,3,28.6
tandoori chicken,7,0,0,12,22.1
"pasta, tandoori chicken",2,0,0,17,23.6
"pasta, naan, tandoori chicken",1,0,1,15,40.7
"tandoori chicken, naan",3,0,0,19,29.8
"veg biryani, pizza, tandoori chicken",22,0,0,7,28.4
pasta,14,0,0,4,17.2
fried rice,1,0,0,2,17.3
veg biryani,12,0,0,7,25.8
masala dosa,23,0,0,18,24.7
"paneer butter masala, masala dosa",17,0,0,6,23.6
masala dosa,22,0,0,12,18.2
"tandoori chicken, burger, naan",9,1,0,14,33.2
veg biryani,17,0,0,8,21.4
"fried rice, paneer butter masala",23,1,0,15,29.6
"naan, pizza, masala dosa",22,0,0,9,31.6
"pizza, masala dosa, chicken biryani",21,0,0,7,29.7
"pasta, burger, naan",0,0,0,19,31.8
"chicken biryani, veg biryani, naan",9,0,0,1,26.9
"fried rice, tandoori chicken, chicken biryani",17,0,1,9,36.8
naan,2,0,0,16,25.9
"paneer butter masala, pasta, masala dosa",14,0,0,3,24.3
"tandoori chicken, paneer butter masala",11,0,0,14,27.9
"pizza, masala dosa, pasta",6,0,0,9,31.0
"fried rice, burger",11,0,0,13,26.8
"masala dosa, naan, pizza",7,0,0,4,26.8
tandoori chicken,22,1,0,13,21.7
"chicken biryani, fried rice, veg biryani",21,1,0,19,42.9
pizza,1,0,1,13,27.3
burger,11,0,0,11,19.9
chicken biryani,3,0,0,7,18.0
"fried rice, chicken biryani",4,0,0,13,27.4
naan,12,1,0,8,24.4
"paneer butter masala, naan, veg biryani",0,0,0,15,38.4
"naan, tandoori chicken",16,0,0,9,23.2
veg biryani,11,0,0,7,18.2
veg biryani,23,0,0,17,23.4
"fried rice, pasta, veg biryani",10,0,0,1,26.2
"tandoori chicken, paneer butter masala",16,0,0,12,29.9
"chicken biryani, fried rice",6,0,0,17,24.6
burger,1,0,0,2,17.2
"paneer butter masala, pizza",18,0,0,6,27.4
"burger, naan, chicken biryani",12,0,0,4,32.0
"pasta, chicken biryani, burger",4,0,0,9,28.8
paneer butter masala,11,0,0,18,25.0
"chicken biryani, veg biryani, naan",20,0,0,10,36.9
burger,22,0,0,16,25.7
paneer butter masala,18,0,0,12,26.1
"chicken biryani, burger, tandoori chicken",3,0,0,9,31.4
"paneer butter masala, fried rice, masala dosa",1,1,0,1,26.4
"tandoori chicken, naan",22,0,0,8,25.3
veg biryani,8,0,0,3,18.7
"burger, veg biryani, paneer butter masala",7,1,0,14,38.7
"chicken biryani, masala dosa, naan",11,0,0,1,26.4
"naan, pasta",7,0,0,16,29.5
"masala dosa, paneer butter masala, pizza",19,1,0,1,31.0
"tandoori chicken, naan",8,0,0,14,27.6
paneer butter masala,0,0,1,2,23.1
"chicken biryani, paneer butter masala, pasta",0,0,0,15,29.7
"masala dosa, veg biryani, tandoori chicken",16,0,0,3,26.4
"pizza, paneer butter masala, fried rice",3,0,0,12,30.6
"naan, burger",3,0,1,17,36.9
naan,20,0,0,1,20.1
naan,6,0,0,3,15.5
"veg biryani, masala dosa",15,0,0,3,19.7
"pizza, tandoori chicken",10,0,1,2,28.3
"masala dosa, tandoori chicken",0,0,0,17,29.4
"burger, paneer butter masala",2,0,0,18,32.6
"fried rice, naan",8,1,1,7,36.4
"paneer butter masala, veg biryani, pizza",23,0,0,16,33.0
pizza,11,0,0,15,21.0
