items,hour,rain,event,kitchen_load,prep_time
"masala dosa, pasta",0,0,1,11,33.4
tandoori chicken,14,0,0,11,23.2
"tandoori chicken, pasta",17,1,0,3,23.6
"veg biryani, pizza",15,0,0,12,27.1
"masala dosa, paneer butter masala, chicken biryani",1,0,0,17,28.6
"masala dosa, pasta, paneer butter masala",22,0,1,15,40.7
"chicken biryani, burger, naan",20,0,0,19,39.8
"veg biryani, masala dosa",14,0,0,7,23.4
veg biryani,20,0,0,4,22.2
chicken biryani,9,0,0,2,17.3
"paneer butter masala, masala dosa",21,0,0,7,30.8
chicken biryani,9,0,0,18,24.7
tandoori chicken,15,0,0,6,18.6
"chicken biryani, naan, tandoori chicken",17,0,0,12,28.2
veg biryani,15,1,0,14,23.2
"pasta, tandoori chicken, chicken biryani",10,0,0,8,31.4
"naan, pizza, chicken biryani",18,1,0,15,34.6
"fried rice, pasta, veg biryani",9,0,0,9,31.6
"fried rice, paneer butter masala",9,0,0,7,19.7
"fried rice, masala dosa",2,0,0,19,26.8
"veg biryani, tandoori chicken, paneer butter masala",17,0,0,1,26.9
"fried rice, chicken biryani, burger",10,0,1,9,36.8
"chicken biryani, pasta, masala dosa",15,0,0,16,35.9
"pizza, masala dosa",14,0,0,3,19.3
pizza,20,0,0,14,27.9
"chicken biryani, naan",19,0,0,9,26.0
"paneer butter masala, naan, pizza",10,0,0,13,31.8
chicken biryani,2,0,0,4,16.8
"masala dosa, naan",22,1,0,13,26.7
veg biryani,9,1,0,19,27.9
masala dosa,12,0,1,13,32.3
"veg biryani, pasta, naan",12,0,0,11,34.9
"paneer butter masala, chicken biryani, naan",9,0,0,7,28.0
"naan, tandoori chicken, fried rice",17,0,0,13,32.4
"pasta, veg biryani",11,1,0,8,24.4
"burger, fried rice, pizza",5,0,0,15,38.4
"chicken biryani, paneer butter masala, tandoori chicken",7,0,0,9,28.2
"pasta, pizza",22,0,0,7,23.2
"fried rice, veg biryani",21,0,0,17,33.4
"chicken biryani, fried rice, paneer butter masala",12,0,0,1,31.2
paneer butter masala,0,0,0,12,24.9
"fried rice, pizza, pasta",10,0,0,17,29.6
naan,12,0,0,2,22.2
"pizza, chicken biryani",20,0,0,6,32.4
fried rice,21,0,0,4,22.0
pasta,0,0,0,9,18.8
"masala dosa, veg biryani, pasta",21,0,0,18,40.0
"naan, veg biryani",10,0,0,10,26.9
"fried rice, tandoori chicken, paneer butter masala",5,0,0,16,35.7
"masala dosa, pizza, pasta",20,0,0,12,41.1
"pizza, pasta",6,0,0,9,26.4
"naan, pizza",22,1,0,1,21.4
"masala dosa, tandoori chicken, fried rice",4,0,0,8,30.3
masala dosa,2,0,0,3,18.7
"burger, chicken biryani, tandoori chicken",21,1,0,14,43.7
paneer butter masala,22,0,0,1,16.4
"pizza, chicken biryani",9,0,0,16,29.5
"tandoori chicken, pizza, masala dosa",19,1,0,1,31.0
naan,15,0,0,14,22.6
tandoori chicken,16,0,1,2,23.1
"fried rice, burger",12,0,0,15,29.7
burger,17,0,0,3,16.4
"naan, paneer butter masala",0,0,0,12,25.6
veg biryani,20,0,1,17,36.9
"chicken biryani, veg biryani",22,0,0,1,20.1
veg biryani,7,0,0,3,15.5
"tandoori chicken, pasta",11,0,0,3,19.7
"pizza, tandoori chicken",11,0,1,2,28.3
masala dosa,14,0,0,17,24.4
"tandoori chicken, burger",2,0,0,18,32.6
"chicken biryani, masala dosa, fried rice",1,1,1,7,41.4
fried rice,10,0,0,16,23.0
pasta,12,0,0,15,26.0
"masala dosa, chicken biryani",14,0,0,17,28.0
fried rice,19,0,0,11,20.6
"pizza, chicken biryani",16,0,0,5,20.3
"naan, tandoori chicken",18,0,0,15,26.0
pasta,14,0,1,10,27.8
"fried rice, burger, tandoori chicken",21,0,0,19,37.9
chicken biryani,5,0,1,9,26.3
fried rice,9,0,0,1,12.4
"chicken biryani, pasta, veg biryani",16,0,0,13,30.8
"pizza, chicken biryani",14,0,1,7,28.9
"pizza, chicken biryani",11,0,0,16,31.8
paneer butter masala,7,0,0,14,23.4
naan,8,0,0,5,18.7
"chicken biryani, fried rice, veg biryani",1,0,0,5,26.9
"fried rice, pasta, chicken biryani",3,0,1,1,33.5
"pizza, paneer butter masala, pasta",9,0,0,16,33.4
"tandoori chicken, veg biryani",3,0,0,12,24.8
tandoori chicken,18,0,0,1,16.5
"burger, naan",21,0,0,8,29.9
"pizza, naan, veg biryani",0,1,0,13,33.4
pasta,19,0,0,17,21.0
"pizza, pasta",18,0,0,10,23.8
"fried rice, masala dosa",4,0,0,4,21.3
"veg biryani, masala dosa",23,0,1,4,30.1
"pasta, paneer butter masala",23,1,1,16,36.6
"chicken biryani, fried rice",1,0,0,5,24.0
"tandoori chicken, masala dosa, veg biryani",9,0,0,17,31.3
"fried rice, chicken biryani",18,0,0,13,26.0
"chicken biryani, naan",4,0,1,12,34.7
chicken biryani,9,0,1,19,29.8
"pizza, paneer butter masala, tandoori chicken",6,0,0,4,27.0
"chicken biryani, veg biryani",13,1,0,7,31.5
"chicken biryani, fried rice",0,0,0,5,20.7
"naan, pasta, chicken biryani",2,0,0,11,31.7
"chicken biryani, veg biryani",18,0,0,13,29.2
chicken biryani,7,0,0,2,18.3
fried rice,18,1,1,4,26.0
"chicken biryani, veg biryani",21,0,0,19,35.1
"tandoori chicken, paneer butter masala",19,0,1,7,33.5
chicken biryani,0,0,0,18,22.6
paneer butter masala,13,0,0,9,24.4
"masala dosa, naan",5,0,0,17,28.6
"pizza, masala dosa",12,0,0,13,29.8
"tandoori chicken, naan, burger",22,1,0,16,36.4
burger,20,0,0,18,29.0
"tandoori chicken, paneer butter masala",6,0,0,15,31.8
burger,1,0,1,11,26.0
naan,16,0,1,8,24.2
"chicken biryani, veg biryani, tandoori chicken",5,0,0,4,26.5
"masala dosa, veg biryani, chicken biryani",23,0,0,18,32.4
"pizza, burger",10,0,0,17,25.8
burger,3,0,0,13,19.7
"pizza, burger",1,1,0,18,33.0
"naan, fried rice",12,0,0,2,23.5
"chicken biryani, masala dosa",6,0,0,18,29.4
"burger, paneer butter masala, chicken biryani",15,1,0,17,36.3
"veg biryani, tandoori chicken, fried rice",12,0,0,16,40.5
"pasta, chicken biryani, fried rice",14,0,0,5,30.5
